country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA,QSSI_KNN_SCORE,KNN_RANK,QSSI_TIER,QSSI_RANK
Republic of Korea,0.9183507486626918,0.9237964433958976,0.876683299097162,0.6550812476968273,True,False,False,False,False,True,True,True,1,0.25,D,0.9691424139563434,0.9608126600313072,0.8914421233008484,0.8809609124404899,0.6604606811129263,0.6276465837035354,0.6633805958379797,0.9333362736572122,37.0,44.0,42.0,0.9333362736572122,2,Platinum,2
United Kingdom of Great Britain and Northern Ireland,0.9240477396822298,0.8930701923746656,0.8818428894553321,0.6013594754184688,True,False,False,False,False,True,True,True,1,0.25,D,0.975194084416659,0.9260562267701504,0.8967418617989971,0.7872233537204025,0.6628545975069465,0.6294625639386473,0.6655602145808119,0.9102055040631416,36.0,43.0,40.0,0.9102055040631416,5,Platinum,5
United States of America,0.947399817300537,0.7571854095710073,0.9027187765505524,0.441822938333823,True,False,False,False,False,True,True,True,1,0.25,D,1.0,0.7723482335151776,0.9181847932802444,0.5088526879969311,0.6726673076293918,0.6369063024416939,0.6744945144395229,0.8330898230228764,32.0,40.0,38.0,0.8330898230228765,16,Gold,16
Taiwan,0.7590376695795309,0.8272813817603069,0.819514513272701,0.5533431744083802,True,False,False,False,False,True,True,True,1,0.25,D,0.7999109281907748,0.8516382834984899,0.832720481834379,0.703441105954393,0.5935161852393908,0.5768637403011765,0.6024288105960688,0.8007265317092781,48.0,51.0,50.0,0.8007265317092781,20,Gold,20
Czechia,0.7541098835777815,0.7569119935642942,0.9107676570051112,0.4577936282987154,True,True,False,False,False,False,True,True,2,0.5,C,0.7946763513976447,0.7720389551335328,0.9264523026464628,0.5367194806378637,0.6692246318674119,0.6435922176781093,0.68931223428074,0.767921617850964,33.0,38.0,35.0,0.767921617850964,27,Gold,27
Egypt,0.7068441861169577,0.5862050145616416,0.6460280373831776,0.3808603910891888,True,False,True,False,False,True,False,True,2,0.5,C,0.744468017888092,0.5789413423196712,0.6545216537580452,0.402480911532437,0.5764765588227403,0.568499173005498,0.5899401491833657,0.6194481038135639,51.0,56.0,55.0,0.6194481038135639,47,Silver,47
Liechtenstein,0.3973887009210851,0.883351736046467,0.6607462132644133,0.3843256359192592,True,True,False,False,False,False,True,True,2,0.5,C,0.4157466609261465,0.9150630574915718,0.6696396142792315,0.4085273164994053,0.5532758845416478,0.5596937038609366,0.5915784947392159,0.5884886884064999,60.0,58.0,54.0,0.5884886884064999,51,Silver,51
Andorra,0.4134003350806227,0.7753004172964071,0.6442899299938356,0.4205546047623522,True,True,False,False,False,False,True,True,2,0.5,C,0.4327551366517261,0.7928392806200825,0.6527363347684035,0.4717421910329789,0.5309931842461398,0.5393225949694407,0.5645944768872516,0.5738321825306107,69.0,64.0,64.0,0.5738321825306107,56,Silver,56
Slovakia,0.5020638543017402,0.4165408269709136,0.9380841121495328,0.4119848158582564,True,False,True,False,False,True,False,True,2,0.5,C,0.5269386097058208,0.3870232977547579,0.9545107450638158,0.4567890155038083,0.5365025427945146,0.5811337850029364,0.5820392062574121,0.5723410234841839,67.0,50.0,59.0,0.5723410234841839,57,Silver,57
Monaco,0.3630602395623732,0.8397839801049591,0.5858467705974792,0.3811148086830341,True,True,False,False,False,False,True,True,2,0.5,C,0.3792810012752637,0.8657807743821543,0.5927057043684809,0.4029248373958454,0.5271532299822586,0.5384792545995316,0.5650943549900844,0.5461785135448523,70.0,67.0,63.0,0.5461785135448523,64,Silver,64
Sri Lanka,0.5075972266814739,0.4224388172360691,0.8369103885254695,0.3831080152572754,True,True,False,False,False,False,True,True,2,0.5,C,0.5328164750669422,0.393694892831039,0.8505888751342664,0.4064027256033696,0.4758349117774889,0.4861555919681223,0.4925067747576838,0.543821221893437,88.0,88.0,90.0,0.543821221893437,66,Silver,66
Viet Nam,0.6580034498101853,0.4389350895634804,0.653101138348785,0.2704846192420818,True,True,False,False,False,False,True,True,2,0.5,C,0.6925865878219208,0.4123548845042616,0.6617868788799126,0.2098894359351003,0.5434657984928013,0.5379885606671596,0.5551057916457512,0.5257688459444916,63.0,68.0,67.0,0.5257688459444916,74,Silver,74
Republic of Moldova,0.5928091606796755,0.4837633977746219,0.598289078286859,0.3233378088130827,True,False,False,False,False,True,True,True,1,0.25,D,0.623333476423408,0.4630630591356043,0.6054859780897854,0.3021114299394088,0.5236657762701341,0.5238765255348202,0.5388312426257815,0.5191559387659814,72.0,73.0,72.0,0.5191559387659815,76,Silver,76
Iran (Islamic Republic of),0.5408427161205154,0.526401738309983,0.6523143827767136,0.3072934820839419,True,False,False,False,False,True,True,True,1,0.25,D,0.568131739859707,0.5112940208679586,0.6609787529426786,0.2741161506492102,0.5018291043950205,0.5073116343694963,0.5189493372179889,0.5178327395611362,78.0,82.0,79.0,0.5178327395611362,77,Silver,77
Türkiye,0.6721103858304366,0.3942686577959002,0.6518347634554611,0.2496399539858883,True,True,False,False,False,False,True,True,2,0.5,C,0.7075717839906595,0.3618298187007191,0.6604861058903263,0.1735181854981498,0.5374010589584991,0.531954409256447,0.5468159448344665,0.511667612293476,64.0,69.0,70.0,0.511667612293476,80,Bronze,80
San Marino,0.3385482993830599,0.7315062845905829,0.5259708395098438,0.3767910414534623,True,True,False,False,False,False,True,True,2,0.5,C,0.3532430131865609,0.7433009282331147,0.5312033844032604,0.3953804216518167,0.487781453436379,0.5051374263705992,0.5225370052697557,0.4930106551350054,85.0,83.0,78.0,0.4930106551350054,86,Bronze,86
